[05/11/2023 16:27:11 - INFO] Discord Presence activated
[05/11/2023 16:27:11 - INFO] Creating discord-rpc client
[05/11/2023 16:27:11 - INFO] Successfully connected to Discord
[05/11/2023 16:27:11 - DEBUG] Loading git extension
[05/11/2023 16:27:11 - TRACE] VSCode language id: shellscript
[05/11/2023 16:29:25 - TRACE] VSCode language id: shellscript
[05/11/2023 16:29:27 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:14 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:16 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:18 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:20 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:23 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:25 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:27 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:33 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:35 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:37 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:41 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:43 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:57 - TRACE] VSCode language id: shellscript
[05/11/2023 16:30:59 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:01 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:03 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:05 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:07 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:09 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:11 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:13 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:15 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:19 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:21 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:27 - TRACE] VSCode language id: shellscript
[05/11/2023 16:31:29 - TRACE] VSCode language id: shellscript
[05/11/2023 16:32:56 - TRACE] VSCode language id: shellscript
[05/11/2023 16:33:27 - TRACE] VSCode language id: shellscript
[05/11/2023 16:34:36 - TRACE] VSCode language id: shellscript
[05/11/2023 16:34:38 - TRACE] VSCode language id: shellscript
[05/11/2023 16:34:46 - TRACE] VSCode language id: shellscript
[05/11/2023 16:34:48 - TRACE] VSCode language id: shellscript
[05/11/2023 16:34:51 - TRACE] VSCode language id: shellscript
[05/11/2023 16:34:53 - TRACE] VSCode language id: shellscript
[05/11/2023 16:34:55 - TRACE] VSCode language id: shellscript
[05/11/2023 16:35:07 - TRACE] VSCode language id: shellscript
[05/11/2023 16:37:34 - TRACE] VSCode language id: shellscript
[05/11/2023 16:37:36 - TRACE] VSCode language id: shellscript
[05/11/2023 16:37:59 - TRACE] VSCode language id: shellscript
[05/11/2023 16:38:01 - TRACE] VSCode language id: shellscript
[05/11/2023 16:38:03 - TRACE] VSCode language id: shellscript
[05/11/2023 16:38:05 - TRACE] VSCode language id: shellscript
[05/11/2023 16:38:16 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:41 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:43 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:45 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:47 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:49 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:51 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:53 - TRACE] VSCode language id: shellscript
[05/11/2023 16:40:58 - TRACE] VSCode language id: shellscript
[05/11/2023 16:41:00 - TRACE] VSCode language id: shellscript
[05/11/2023 16:41:02 - TRACE] VSCode language id: shellscript
[05/11/2023 16:41:04 - TRACE] VSCode language id: shellscript
[05/11/2023 16:41:06 - TRACE] VSCode language id: shellscript
[05/11/2023 16:41:08 - TRACE] VSCode language id: shellscript
[05/11/2023 16:41:30 - TRACE] VSCode language id: shellscript
[05/11/2023 16:42:57 - TRACE] VSCode language id: shellscript
[05/11/2023 16:42:59 - TRACE] VSCode language id: shellscript
[05/11/2023 16:43:02 - TRACE] VSCode language id: shellscript
[05/11/2023 16:43:02 - TRACE] VSCode language id: shellscript
[05/11/2023 16:43:04 - TRACE] VSCode language id: shellscript
[05/11/2023 16:43:07 - TRACE] VSCode language id: shellscript
[05/11/2023 16:43:09 - TRACE] VSCode language id: shellscript
[05/11/2023 16:43:11 - TRACE] VSCode language id: shellscript
[05/11/2023 16:43:13 - TRACE] VSCode language id: shellscript
[05/11/2023 16:44:28 - TRACE] VSCode language id: shellscript
[05/11/2023 16:44:30 - TRACE] VSCode language id: shellscript
[05/11/2023 16:44:41 - TRACE] VSCode language id: shellscript
[05/11/2023 16:44:43 - TRACE] VSCode language id: shellscript
[05/11/2023 16:44:45 - TRACE] VSCode language id: shellscript
[05/11/2023 16:44:48 - TRACE] VSCode language id: shellscript
[05/11/2023 16:44:50 - TRACE] VSCode language id: shellscript
[05/11/2023 16:49:24 - TRACE] VSCode language id: shellscript
[05/11/2023 16:49:26 - TRACE] VSCode language id: shellscript
